## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectMultipleMetrics INPUT=D:\metrics_file\1.bam OUTPUT=D:/ FILE_EXTENSION=.txt    ASSUME_SORTED=true STOP_AFTER=0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] PROGRAM=[CollectAlignmentSummaryMetrics, CollectBaseDistributionByCycle, CollectInsertSizeMetrics, MeanQualityByCycle, QualityScoreDistribution] INCLUDE_UNPAIRED=false VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 01 17:37:39 GMT+04:00 2017

## METRICS CLASS	picard.analysis.BaseDistributionByCycleMetrics
READ_END	CYCLE	PCT_A	PCT_C	PCT_G	PCT_T	PCT_N
1	1	27,827741	22,061132	21,766892	28,344235	0
1	2	27,570154	22,268711	22,012542	28,148593	0
1	3	27,180958	22,677488	22,404976	27,736577	0
1	4	26,967708	22,892578	22,633037	27,506677	0
1	5	27,084526	22,809692	22,504761	27,601021	0
1	6	26,770035	23,124605	22,874529	27,230831	0
1	7	26,964259	22,932967	22,695728	27,407045	0
1	8	27,107595	22,761696	22,518576	27,612134	0
1	9	27,051303	22,809175	22,592399	27,547124	0
1	10	26,933086	22,941321	22,658769	27,466825	0
1	11	26,987615	22,888229	22,647618	27,476539	0
1	12	26,909921	22,950671	22,699331	27,440077	0
1	13	27,010358	22,849257	22,646545	27,49384	0
1	14	26,996352	22,871214	22,630949	27,501485	0
1	15	26,92272	22,939098	22,694828	27,443354	0
1	16	26,895992	22,990581	22,731615	27,381812	0
1	17	26,86867	23,004012	22,740409	27,386908	0
1	18	26,762562	23,103165	22,801089	27,333184	0
1	19	26,76557	23,122325	22,813351	27,298753	0
1	20	26,760129	23,12951	22,804442	27,305919	0
1	21	26,682665	23,154954	22,885067	27,277313	0
1	22	26,698721	23,229199	22,852112	27,219968	0
1	23	26,70809	23,158403	22,859067	27,274439	0
1	24	26,57353	23,306145	22,946398	27,173926	0
1	25	26,647564	23,253705	22,864758	27,233974	0
1	26	26,620817	23,241346	22,877595	27,260242	0
1	27	26,530439	23,322029	22,998609	27,148923	0
1	28	26,592786	23,272098	22,941704	27,193412	0
1	29	26,576155	23,255659	22,908596	27,259591	0
1	30	26,489839	23,358605	22,992267	27,159288	0
1	31	26,505244	23,332624	22,959733	27,202398	0
1	32	26,560674	23,331686	22,953909	27,153732	0
1	33	26,444775	23,42852	23,054786	27,071919	0
1	34	26,48846	23,355022	22,997038	27,15948	0
1	35	26,48526	23,358854	22,99721	27,158675	0
1	36	26,445676	23,42009	23,027636	27,106598	0
1	37	26,446461	23,415702	23,004127	27,13371	0
1	38	26,415211	23,417139	23,06496	27,099088	0,003602
1	39	26,352309	23,46776	23,093508	27,086423	0
1	40	26,368653	23,489544	23,015489	27,126314	0
1	41	26,393273	23,459176	23,045263	27,10041	0,001878
1	42	26,324623	23,515755	23,072892	27,08671	0,000019
1	43	26,334491	23,529799	23,068983	27,066726	0
1	44	26,327114	23,484505	23,059078	27,129303	0
1	45	26,271972	23,545836	23,107974	27,074084	0,000134
1	46	26,278754	23,541066	23,071091	27,108878	0,000211
1	47	26,251835	23,557735	23,092263	27,086155	0,012013
1	48	26,254268	23,565111	23,125774	27,050575	0,004273
1	49	26,247562	23,571357	23,089734	27,012293	0,079054
1	50	26,244899	23,551489	23,109603	27,037297	0,056713
1	51	26,119344	23,547906	23,085059	26,97472	0,272972
1	52	26,219991	23,597741	23,086821	27,028177	0,067271
1	53	26,195983	23,602531	23,062009	27,097478	0,041999
1	54	26,102387	23,621192	23,089887	26,980392	0,206142
1	55	26,121049	23,647403	23,121961	27,016681	0,092907
1	56	26,152011	23,622591	23,147731	26,994129	0,083537
1	57	26,130763	23,670242	23,146026	27,026356	0,026613
1	58	26,092903	23,633723	23,127134	26,964681	0,18156
1	59	26,154674	23,664283	23,139703	27,040861	0,000479
1	60	26,112235	23,726457	23,189691	26,971387	0,00023
1	61	26,121892	23,695571	23,194002	26,986964	0,001571
1	62	26,08522	23,721073	23,202758	26,990527	0,000422
1	63	26,095068	23,745981	23,20546	26,952399	0,001092
1	64	26,076157	23,730174	23,191875	26,999188	0,002606
1	65	26,08066	23,702143	23,235694	26,98112	0,000383
1	66	26,05807	23,778419	23,216745	26,942838	0,003928
1	67	26,033545	23,829729	23,199463	26,931304	0,005959
1	68	26,071463	23,722932	23,151908	26,904729	0,148969
1	69	25,977043	23,81239	23,21799	26,843034	0,149543
1	70	26,003253	23,748338	23,24309	26,856599	0,14872
1	71	26,025785	23,740099	23,249259	26,829986	0,15487
1	72	25,994057	23,834864	23,225731	26,793065	0,152283
1	73	25,963458	23,772384	23,239967	26,862788	0,161403
1	74	25,925272	23,787827	23,239967	26,872943	0,173992
1	75	25,891474	23,897862	23,307199	26,741965	0,161499
1	76	25,925023	23,833006	23,282904	26,810405	0,148662
2	77	27,514718	22,328266	22,080163	28,076853	0
2	78	27,221937	22,637466	22,276043	27,864553	0
2	79	26,555972	23,273942	23,057504	27,112583	0
2	80	26,268909	23,596	23,320024	26,815067	0
2	81	26,928772	22,931479	22,714636	27,425113	0
2	82	26,378437	23,49602	23,280294	26,845249	0
2	83	26,604095	23,264587	23,000391	27,130927	0
2	84	26,903113	22,953635	22,684916	27,458337	0
2	85	26,844114	23,034828	22,759699	27,361359	0
2	86	26,720303	23,153134	22,883433	27,243131	0
2	87	26,811082	23,039101	22,785608	27,364208	0
2	88	26,706674	23,138678	22,888341	27,266307	0
2	89	26,822516	23,064703	22,767784	27,344998	0
2	90	26,80292	23,061353	22,767476	27,368251	0
2	91	26,710158	23,17194	22,867475	27,250426	0
2	92	26,742054	23,153519	22,825839	27,278588	0
2	93	26,700495	23,153172	22,856195	27,290137	0
2	94	26,6614	23,201122	22,95581	27,181668	0
2	95	26,665596	23,21348	22,906147	27,214777	0
2	96	26,617377	23,302103	22,911498	27,169021	0
2	97	26,572257	23,295539	22,976407	27,155797	0
2	98	26,598359	23,265953	22,961257	27,17443	0
2	99	26,566906	23,268687	22,93785	27,226557	0
2	100	26,514663	23,353364	23,025742	27,10623	0
2	101	26,566001	23,321892	22,974809	27,137299	0
2	102	26,519918	23,364471	22,99581	27,119801	0
2	103	26,441497	23,428706	23,057927	27,07187	0
2	104	26,431045	23,437291	23,054	27,077664	0
2	105	26,463922	23,342912	23,046243	27,146923	0
2	106	26,370063	23,450996	23,073673	27,105268	0
2	107	26,408234	23,468224	23,044703	27,078839	0
2	108	26,437397	23,437753	23,048918	27,075932	0
2	109	26,335992	23,516982	23,112499	27,034527	0
2	110	26,364462	23,474326	23,099602	27,061611	0
2	111	26,337686	23,49473	23,084953	27,082631	0
2	112	26,318013	23,535077	23,122547	27,022092	0,002271
2	113	26,289582	23,522603	23,153788	27,034026	0
2	114	26,286194	23,551708	23,116021	27,046076	0
2	115	26,236281	23,624316	23,163182	26,976221	0
2	116	26,285097	23,576867	23,14809	26,989946	0
2	117	26,32373	23,564355	23,106146	27,005769	0
2	118	26,188524	23,644682	23,199948	26,966847	0
2	119	26,175723	23,623585	23,184394	27,016298	0
2	120	26,229467	23,585413	23,190554	26,994566	0
2	121	26,179592	23,667531	23,197734	26,955143	0
2	122	26,185367	23,630341	23,164587	27,019705	0
2	123	26,192585	23,642045	23,197522	26,967848	0
2	124	26,146791	23,692863	23,233384	26,926962	0
2	125	26,149121	23,667377	23,216521	26,966981	0
2	126	26,125771	23,698349	23,232325	26,943555	0
2	127	26,175126	23,613883	23,162816	27,048175	0
2	128	26,160728	23,629571	23,215944	26,993757	0
2	129	26,174068	23,663065	23,189476	26,972891	0,0005
2	130	26,125329	23,648994	23,213595	27,012082	0
2	131	26,155184	23,699715	23,194943	26,950158	0
2	132	26,119958	23,67446	23,164163	27,041418	0
2	133	26,10633	23,726972	23,214442	26,952256	0
2	134	26,044674	23,743526	23,308937	26,902862	0
2	135	26,071469	23,741467	23,254038	26,933026	0
2	136	26,027793	23,823988	23,311362	26,836857	0
2	137	26,009025	23,829243	23,28782	26,873141	0,00077
2	138	26,06017	23,801486	23,277503	26,860841	0
2	139	26,014164	23,805182	23,31577	26,864884	0
2	140	25,992162	23,821447	23,327455	26,858936	0
2	141	25,990103	23,806702	23,328975	26,874219	0
2	142	25,955974	23,841813	23,355886	26,846327	0
2	143	25,965098	23,854729	23,347397	26,832776	0
2	144	25,920401	23,83163	23,339562	26,755028	0,153378
2	145	25,949179	23,880831	23,338735	26,698705	0,13255
2	146	25,858284	23,912227	23,390977	26,702998	0,135515
2	147	25,876552	23,875807	23,372613	26,724307	0,150721
2	148	25,836417	23,901832	23,433903	26,668888	0,15896
