## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectMultipleMetrics INPUT=D:\metrics_file\1.bam OUTPUT=D:/ FILE_EXTENSION=.txt    ASSUME_SORTED=true STOP_AFTER=0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] PROGRAM=[CollectAlignmentSummaryMetrics, CollectBaseDistributionByCycle, CollectInsertSizeMetrics, MeanQualityByCycle, QualityScoreDistribution] INCLUDE_UNPAIRED=false VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 01 17:37:39 GMT+04:00 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
154	42	10	132204717	168,241129	67,959041	4646033	FR	17	33	51	67	85	103	123	147	215	459			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
10	1
14	1
17	1
21	1
27	1
34	2
35	1
38	2
41	1
42	3
45	1
46	1
47	2
48	2
49	2
50	2
51	4
52	1
53	6
54	18
55	21
56	26
57	46
58	57
59	52
60	102
61	99
62	165
63	208
64	237
65	371
66	523
67	694
68	1184
69	2519
70	3659
71	4833
72	6012
73	6787
74	8091
75	9142
76	10704
77	11869
78	13142
79	14401
80	15580
81	16776
82	18311
83	19200
84	20127
85	21400
86	22704
87	23453
88	24359
89	25164
90	25930
91	26429
92	27294
93	27829
94	28290
95	29008
96	29865
97	30017
98	30984
99	30910
100	31333
101	31656
102	31817
103	31961
104	32312
105	32874
106	32852
107	32577
108	32928
109	33067
110	33147
111	33069
112	33359
113	33584
114	33408
115	33238
116	33440
117	33638
118	33338
119	33498
120	33338
121	33424
122	33430
123	32929
124	33127
125	32952
126	33226
127	32785
128	33063
129	32786
130	32658
131	32431
132	32469
133	32282
134	32155
135	32150
136	31816
137	31541
138	31439
139	31481
140	31137
141	30837
142	31091
143	31104
144	30652
145	30014
146	30206
147	30042
148	29916
149	29443
150	29171
151	29015
152	28980
153	28486
154	28787
155	28347
156	28011
157	27863
158	27490
159	27258
160	27010
161	27008
162	26604
163	26589
164	26330
165	26012
166	25883
167	25438
168	25339
169	25000
170	24898
171	24778
172	24382
173	24143
174	23851
175	23930
176	23436
177	22901
178	22725
179	22842
180	22317
181	22349
182	22117
183	21795
184	21716
185	21524
186	21248
187	20919
188	20711
189	20798
190	20468
191	20193
192	20265
193	19539
194	19568
195	19227
196	19170
197	18819
198	18643
199	18561
200	18328
201	18056
202	18007
203	17429
204	17622
205	17108
206	17214
207	16657
208	16572
209	16464
210	16359
211	15989
212	15956
213	15598
214	15478
215	15106
216	15162
217	14883
218	14683
219	14298
220	14379
221	14395
222	14016
223	13818
224	13503
225	13554
226	13153
227	13112
228	12749
229	12804
230	12552
231	12247
232	12301
233	12171
234	12032
235	11707
236	11586
237	11377
238	11232
239	11069
240	11009
241	10819
242	10516
243	10388
