## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectMultipleMetrics INPUT=D:\metrics_file\1.bam OUTPUT=D:/ FILE_EXTENSION=.txt    ASSUME_SORTED=true STOP_AFTER=0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] PROGRAM=[CollectAlignmentSummaryMetrics, CollectBaseDistributionByCycle, CollectInsertSizeMetrics, MeanQualityByCycle, QualityScoreDistribution] INCLUDE_UNPAIRED=false VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 01 17:37:39 GMT+04:00 2017


## HISTOGRAM	java.lang.Integer
CYCLE	MEAN_QUALITY
1	31,111824
2	30,955508
3	31,729876
4	32,865378
5	33,202439
6	33,585902
7	33,515556
8	33,396141
9	33,209999
10	33,36707
11	33,615544
12	33,59718
13	33,648276
14	33,60702
15	33,574279
16	33,607011
17	33,508576
18	33,463675
19	33,473835
20	33,380642
21	33,405261
22	33,224183
23	33,224371
24	33,163972
25	33,252061
26	33,269489
27	33,083842
28	33,058838
29	33,075671
30	33,038413
31	33,042632
32	32,858699
33	32,698235
34	32,699432
35	32,620265
36	32,729838
37	32,537355
38	32,429328
39	32,312186
40	32,305874
41	32,325329
42	32,177891
43	32,102417
44	31,935616
45	31,827782
46	31,938161
47	31,602812
48	31,436987
49	31,178414
50	31,105236
51	30,968459
52	30,75422
53	30,607409
54	30,346043
55	30,255925
56	30,376246
57	30,105141
58	29,740089
59	30,026134
60	29,97567
61	29,992138
62	29,640232
63	29,409947
64	29,213925
65	29,055352
66	28,850154
67	28,480164
68	27,916755
69	27,286634
70	26,562072
71	25,519719
72	24,767026
73	24,048657
74	23,462371
75	22,96902
76	22,376534
77	28,369434
78	29,98264
79	30,580728
80	30,924537
81	31,168766
82	31,386063
83	31,583537
84	31,700401
85	31,203649
86	31,510611
87	31,914062
88	31,886617
89	31,911252
90	31,991772
91	31,881112
92	32,3307
93	32,157364
94	32,068983
95	31,961675
96	32,052756
97	32,178153
98	32,189448
99	32,083731
100	32,05637
101	32,092216
102	32,177131
103	31,924724
104	31,85408
105	31,781682
106	31,675537
107	31,751444
108	31,442567
109	31,261719
110	31,086168
111	31,048179
112	31,001863
113	30,755877
114	30,650808
115	30,501368
116	30,318626
117	30,273302
118	30,134326
119	29,951934
120	29,758074
121	29,464075
122	29,468759
123	29,249183
124	29,042173
125	28,711198
126	28,584181
127	29,109725
128	28,802892
129	28,520825
130	28,488911
131	28,402742
132	28,630058
133	27,968248
134	27,538157
135	27,241627
136	26,984508
137	26,884758
138	26,506712
139	26,16874
140	25,74441
141	25,275125
142	25,27517
143	24,566152
144	23,572572
145	23,356579
146	22,56973
147	21,937999
148	21,210559
149	20,50186
150	19,863056
151	19,351084
152	17,783676

